title_id,milestone_year,notes
age_of_empires_ii,2023,In our window of analysis (up to about Dec '23) this is a winner. Since then... I'm not so sure. https://escharts.com/games/aoe 
apex_legends,2023,https://escharts.com/games/apex
brawl_stars,2022,Flip to the Viewership Over Time tab to see this in action. I agree with Gemini. The game has been on quite the journey.
counter_strike,2015,"https://esl.com/article/esl-one-cologne-2015-the-worlds-biggest-and-most-watched-counter-strike-global-offensive-event-to-date/#:~:text=between%20them%2C%20and%20at%20its%20peak%20the,for%20both%20ESL%20and%20the%20game%20itself.    https://liquipedia.net/counterstrike/S-Tier_Tournaments/2012-2023#2014"
dota2,2015,"https://liquipedia.net/dota2/Tier_1_Tournaments#2014  https://www.gamesindustry.biz/20m-watched-2014-international-dota-2-championships#:~:text=Valve%20has%20revealed%20that%20the,$5%20million%20in%20prize%20money. "
fortnite,2021,"https://escharts.com/games/fortnite -- it's been difficult for Fortnite to actually stack up to it's initial successes with the World Cup at the height of Fortnite-mania. But actually, viewership has been stable and growing ever since. "
free_fire,2022,"https://escharts.com/games/free-fire what the fuck happened here? Is this a PUBG mobile thing? I'm not sure this can qualify as ""stable"" or ""growing"" except if we squint. But I'm going to leave it in and hope the data police don't get at me."
guilty_gear,2023,https://escharts.com/games/guilty-gear
hearthstone,2015,"https://liquipedia.net/hearthstone/Portal:Tournaments/S-Tier#2014  For viewership, I can't actually find a specific reference, but based on my memory of the era, Hearthstone really entered a golden age form year 1 which culminated in around 2018. We could put the success milestone year later (into when EScharts tracking starts), but I think this does the game disservice."
league_of_legends,2014,https://www.pcgamer.com/league-of-legends-2014-world-championship-draws-27-million-viewers/  https://liquipedia.net/leagueoflegends/S-Tier_Tournaments#2013
mobile_legends_bb,2024,https://escharts.com/games/mobile-legends  this is cray. I feel we could put the success metric a year or two earlier but since this is where Gemini landed it I'll leave it here for consistency.
mortal_kombat,2020,"Little sketchy, this one, but it does satisfy the success milestone.# https://escharts.com/games/mkx "
overwatch,2019,https://escharts.com/games/ow // https://liquipedia.net/overwatch/S-Tier_Tournaments
pubg,2023,"Another big opener with a set of stabilised, smaller years afterward. Interesting pattern. https://escharts.com/games/pubg"
pubg_mobile,2023,https://escharts.com/games/pubg-mobile I wish I knew more about this game
rainbow_six_siege,2020,"As always, Siege feels remarkable, something like Apex in Japan in the way it stands out as being stable // https://escharts.com/games/rainbow-6 "
rocket_league,2018,"I'm not sure where Gemini got this stat on viewership. Possibly a hallucination. The conclusion stands IMO based on EScharts peak viewership data, which blessedly come in from 2017 onwards https://escharts.com/games/rl  . We could put the success year back one year, to 2019. This would only reinforce the notion of increased rate of successful emergence more recently."
starcraft2,2013,"https://liquipedia.net/starcraft2/S-Tier_Tournaments/WoL#2012https://www.ign.com/articles/2016/03/22/the-rise-and-fall-of-starcraft-ii-as-an-esport    https://en.wikipedia.org/wiki/StarCraft_II_in_esports#:~:text=Late%202011%20and%202012%20constituted,World%20Championship%20Series%20(WCS)."
teamfight_tactics,2022,"Like Fortnite, we see an initial massive peak here followed by the implementation of strong ecosystem and slow growth from there. https://escharts.com/games/tft "
tekken,2018,https://escharts.com/games/tekken // https://liquipedia.net/fighters/Tekken_7/Tournaments/2017
valorant,2024,"Again, viewership included on the next tabs. Also, I was there and helped do this."
wild_rift,2023,"No data on escharts for this, so we're mostly just trusting our buddy gemini here. Gulp. I do remember it having an esport, lol."
